title,number,cover,price,summary
Homem Foguete,38,img/Volume_38.jpg,47.3,"A inesperada saída de um dos integrantes do Bando do Chapéu de Palha abala Luffy e seus companheiros! Mas, antes de tentar recuperar seu integrante perdido, o bando precisa se reorganizar e enfrentar a Acqua Laguna!"
Esforço,39,img/Volume_39.jpg,71.91,"Ainda a bordo do Trem Marítimo que navega em direção a Enies Lobby, Sanji, Franky e o lendário Sogeking precisam passar por todos os vagões para poder resgatar Robin das garras da CP9! Já o resto do Bando do Chapéu de Balha e seus novos aliados se encaminham a toda velocidade no desgovernado Rocketman, tendo que enfrentar até mesmo um Capitão da Marinha para alcançar o Puffing Tom a tempo!!"
Gear,40,img/Volume_40.jpg,39.64,"Luffy se adiantou e invadiu Enies Lobby sozinho!! A família Franky e o pessoal da Galley-La chegaram em seguida e já começaram uma batalha terrível pra limpar caminho pro Rocketman e o resto do Bando do Chapéu de Palha! Enquanto isso, Franky e Nico Robin são entregues ao diretor Spandam que recompensa os agentes da CP9 com dois presentes inesperados!"
Declaração de Guerra,41,img/Volume_41.jpg,56.27,
Piratas VS CP9,42,img/Volume_42.jpg,92.72,"Após invadir Enies Lobby, o Bando do Chapéu de Palha tem de enfrentar os temíveis agentes da CP9 para conseguir a chave que libertará Robin de suas algemas! Enquanto parte do bando, com a ajuda de Franky, entra em combate, Luffy corre para impedir que Robin seja levada ao Portal da Justiça, onde não há esperança para os condenados!!!"
O Herói Lendário,43,img/Volume_43.jpg,31.31,"O resgate de Robin segue com muitos imprevistos! A transformação de Chopper se torna um grave problema, inclusive para o Bando do Chapéu de Palha! Quem será capaz de refrear a fúria descontrolada do médico do bando?"
Vamos voltar,44,img/Volume_44.jpg,66.61,"Começou o Buster Call! Depois de libertar Robin, o Bando do Chapéu de Palha precisa dar um jeito de resistir ao ataque da Marinha e escapar de Enies Lobby em segurança. No entanto, Rob Lucci, o líder da CP9 mais poderosa da história, está enfrentando Luffy com todas as suas forças e impedindo o capitão de se juntar ao bando!"
Nós entendemos como você se sente,45,img/Volume_45.jpg,96.34,"Com o fim do incidente em Ennies Lobby, o Bando do Chapéu de Palha precisa se preparar para uma nova aventura. Mas, antes de poderem zarpar, eles precisam descolar um novo navio, além de resolver questões pendentes com seus membros e soldados da Marinha que têm relação com Luffy!"
Aventura na Ilha Fantasma,46,img/Volume_46.jpg,79.5,"Ace alcança o criminoso que esteve perseguindo, o infame Barba Negra! O Bando do Chapéu de Palha, agora no Triângulo Amaldiçoado, encontra as mais incríveis e aterrorizantes criaturas, dignas de um filme de terror!"
Nublado com uma pequena possibilidade de Osso,47,img/Volume_47.jpg,58.15,"Presos em Thriller Bark, o Bando do Chapéu de Palha acabou se dividindo e, para saírem inteiros de lá, os companheiros terão que descobrir os mistérios do local e enfrentar seus excêntricos habitantes!"
A Aventura de Oars,48,img/Volume_48.jpg,53.81,
Luffy Nightmare,49,img/Volume_49.jpg,55.77,Luffy é tapeado por Gekko Moriah e se perde em Thriller Bark! Mas um inesperado encontro dará a ele uma oportunidade de enfrentar Oars!
